portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,"In a crossing situation between two power-driven vessels, the give-way vessel should normally:","Maintain course and speed","Avoid crossing ahead if circumstances allow","Sound one prolonged blast only","Stop engines and drift clear","B","colregs",1,1
oow,"Under COLREG Rule 5, a proper lookout must be maintained by:","Radar alone","The master only","Sight and hearing as well as all available means","Automatic identification system alone","C","colregs",1,2
oow,"A vessel constrained by her draught is displaying by day:","Three black balls","A black cylinder","A diamond shape","A cone apex upward","B","colregs",1,3
oow,"In restricted visibility, the safe speed of a vessel should be:","The maximum sea speed available","Adjusted to the prevailing circumstances and conditions","Set only by the engine manufacturer","The same as in clear weather if radar is operational","B","colregs",1,4
oow,"A sailing vessel underway at night should show sidelights and:","A yellow sternlight only","A white all-round light","A sternlight","Two red masthead lights","C","colregs",1,5
oow,"When two power-driven vessels are meeting head-on, each should:","Alter to port","Maintain course until close-quarters develops","Alter to starboard","Stop engines immediately","C","colregs",1,6
oow,"The stand-on vessel in a crossing situation should initially:","Take early avoiding action regardless","Maintain course and speed","Alter to port to help the give-way vessel","Sound the aground signal","B","colregs",1,7
oow,"A vessel not under command shows at night:","Two all-round red lights in a vertical line","Three all-round green lights in a vertical line","A red over white combination","One flashing white light","A","colregs",1,8
oow,"The sound signal for a power-driven vessel underway but stopped and making no way in fog is:","One prolonged blast every 2 minutes","Two prolonged blasts every 2 minutes","One short, one prolonged, one short","Rapid ringing of the bell","B","colregs",1,9
oow,"Under Rule 10, a vessel using a traffic separation lane should normally:","Proceed against the direction of traffic if clear","Keep as near to the outer limit as practicable","Proceed in the general direction of traffic flow","Cross diagonally to save time","C","colregs",1,10
oow,"A vessel engaged in pilotage duty on pilotage duty may show at night:","White over red lights","White over white lights","Red over white lights","Green over white lights","B","colregs",1,11
oow,"When overtaking, a vessel is deemed to be overtaking if coming up from more than:","22.5 degrees abaft the beam","10 degrees abaft the beam","Right astern only","112.5 degrees abaft the beam","A","colregs",1,12
oow,"A vessel at anchor of 50 metres or more shall exhibit by day:","One black ball","Two black balls","A black diamond","A black cylinder","A","colregs",1,13
oow,"Which light is carried by a towing vessel when the tow exceeds 200 metres?","Two masthead lights in a vertical line","Three masthead lights in a vertical line","A red over white over red vertical line","A flashing yellow light only","B","colregs",1,14
oow,"Action taken to avoid collision should be:","Small and difficult to detect","Positive, made in ample time, and with due regard to good seamanship","Delayed until the last safe moment","Always a turn to port","B","colregs",1,15
oow,"The chart symbol 'Fl(2) 8s' indicates:","A fixed light for 2 seconds every 8 seconds","A group of two flashes every 8 seconds","Two lights flashing alternately over 8 seconds","A flashing light visible for 8 miles","B","chartwork",1,16
oow,"A true bearing is measured:","Clockwise from magnetic north","Clockwise from true north","From the ship's head only","Counter-clockwise from compass north","B","chartwork",1,17
oow,"The main purpose of a large-scale chart in pilotage waters is to:","Show distant ocean currents only","Provide detailed information for close navigation","Replace the need for visual lookout","Display weather facsimile data","B","chartwork",1,18
oow,"A line joining positions of equal depth is called:","A contour line","An isobar","An isogon","A bearing line","A","chartwork",1,19
oow,"On an Admiralty chart, a magenta dashed line commonly indicates:","A traffic lane or routeing feature","A depth contour","A submarine cable out of use","A radar range ring","A","chartwork",1,20
oow,"The best charted objects for a visual fix are those that are:","Low-lying and difficult to identify","Conspicuous, accurately charted, and well separated","Moving with the tide","Close together on the same bearing","B","chartwork",1,21
oow,"A position obtained from a single object and radar range is usually called a:","Running fix","Dead reckoning position","Range and bearing fix","Compass adjustment fix","C","chartwork",1,22
oow,"When transferring a position line to obtain a running fix, the line is moved by the vessel's:","Leeway only","Course and distance made good between observations","Heading only","Change of gyro error only","B","chartwork",1,23
oow,"The chart datum is primarily used as the reference for:","Air temperature observations","Charted depths and heights of tide","Compass deviation tables","Bridge visibility limits","B","chartwork",1,24
