portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,What does TPC represent?,Tonnes needed to change trim by 1 cm,Tonnes needed to change mean draught by 1 cm,Tonnes needed to heel the ship by 1 degree,Tonnes needed to immerse 1 m of freeboard,B,hydrostatics,1,1
oow,Fresh Water Allowance is the change in mean draught when a ship moves:,From fresh water to dock water,From salt water to fresh water,From tropical to summer zone,From loaded to ballast condition,B,hydrostatics,1,2
oow,Dock Water Allowance is used to correct for:,Trim due to current,Water density different from standard seawater,Reduction of GM by free surface,Change of displacement due to bunkers used,B,hydrostatics,1,3
oow,"If TPC is 20 tonnes, how much weight is required to increase mean draught by 15 cm?",150 tonnes,200 tonnes,300 tonnes,450 tonnes,C,hydrostatics,1,4
oow,"If 60 tonnes are discharged and TPC is 15 tonnes, the mean draught will:",Increase by 4 cm,Decrease by 4 cm,Decrease by 6 cm,Increase by 6 cm,B,hydrostatics,1,5
oow,Displacement is the:,Weight of cargo only,Volume of all enclosed spaces,Weight of water displaced by the ship,Weight of the hull steel alone,C,hydrostatics,1,6
oow,Deadweight is the difference between:,Loaded displacement and lightweight,Loaded draught and ballast draught,Summer draft and winter draft,Displacement and block coefficient,A,hydrostatics,1,7
oow,The centre of buoyancy is the centre of:,Gravity of the ship,The underwater volume,Flotation area,Reserve buoyancy,B,hydrostatics,1,8
oow,"When a ship takes on cargo evenly, the centre of buoyancy will usually move:",Downward as draught increases,Upward as displacement increases,To port because density rises,Aft because wetted surface grows,B,hydrostatics,1,9
oow,Waterplane area mainly affects the value of:,MCTC,TPC,KG,LCG,B,hydrostatics,1,10
oow,MCTC is the moment required to change trim by:,1 mm,1 cm,1 degree,1 m,B,trim-hydrostatics,1,11
oow,A vessel with a larger TPC will:,Change draught more for a given weight,Change draught less for a given weight,Always have greater GM,Always trim by the stern,B,hydrostatics,1,12
oow,The symbol KB is the distance from keel to:,Centre of gravity,Metacentre,Centre of buoyancy,Centre of flotation,C,hydrostatics,1,13
oow,The symbol KM is the distance from keel to:,Metacentre,Centre of flotation,Mean draught,Longitudinal centre of buoyancy,A,hydrostatics,1,14
oow,Initial GM is found from:,KM - KG,KB - KG,KM + KG,KB + BM,A,stability-basics,1,15
oow,"If KG increases while KM remains constant, GM will:",Increase,Decrease,Remain unchanged,Become equal to displacement,B,stability-basics,1,16
oow,A rise in seawater density will normally cause the ship to:,Sink deeper,Rise slightly,List to port,Trim by the stern,B,hydrostatics,1,17
