portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,A vessel crossing a Traffic Separation Scheme should normally cross the traffic lanes:,At any convenient angle,At right angles to the general direction of traffic flow,Along the separation zone,Only after contacting VTS,B,colregs,1,1
oow,"If successive fixes show the vessel being set to starboard, the OOW should:",Wait for the next waypoint,Alter as required and monitor with fresh fixes,Ignore the set if speed is steady,Stop engines until the tide changes,B,passage-planning,1,2
oow,"For a visual fix, the best charted objects are those that are:","Conspicuous, accurately charted, and well separated",Closest to the ship regardless of charting,Floating aids only,Unlit objects near the bow,A,chartwork,1,3
oow,The chart notation Fl(3) 10s indicates:,A fixed light shown for 10 seconds,Three flashes every 10 seconds,Three colours in 10 seconds,A flare fired every 10 seconds,B,aids-to-navigation,1,4
oow,A vessel has 180 miles to run at 15 knots. The passage time is:,10 hours,11 hours,12 hours,13 hours,C,eta-speed-distance,1,5
oow,"When planning landfall, the most critical consideration is:",Lighthouse paint colour,"Expected set, drift, visibility, and reliable fixing marks",Sunrise time only,Number of fishing vessels offshore,B,landfall,1,6
oow,"To compare an echo sounder reading with charted depth, the navigator must allow for:",Cargo density,Tidal height and the transducer datum used,Magnetic variation,Relative humidity,B,tides-depth,1,7
oow,"At anchor, the earliest reliable sign of dragging is usually:",A change in galley routine,Ship's position moving relative to fixed references,Wind backing by 5 degrees,The anchor cable becoming wet,B,anchoring,1,8
oow,TPC is the weight required to:,Change trim by 1 cm,Change mean draught by 1 cm,Heel the ship by 1 degree,Change freeboard by 1 m,B,hydrostatics,1,9
oow,Fresh Water Allowance is the change in draught when moving:,From fresh water to dock water,From salt water to fresh water,From summer to winter zone,From ballast to loaded condition,B,hydrostatics,1,10
oow,"If TPC is 18 tonnes, the weight needed to increase mean draught by 20 cm is:",180 tonnes,240 tonnes,360 tonnes,720 tonnes,C,hydrostatics,1,11
oow,Dock Water Allowance is used to correct for:,Compass deviation,Water density differing from standard sea water,Free surface effect,Propeller immersion,B,hydrostatics,1,12
