portal,question_text,option_a,option_b,option_c,option_d,correct_option,topic_tag,is_active,sort_order
oow,"A power-driven vessel is crossing a Traffic Separation Scheme. Under IRPCS Rule 10, the vessel should normally cross the traffic lanes:","At the shallowest available point","At right angles to the general direction of traffic flow","Parallel to the lane before turning across","Only after obtaining permission from the coastal state","B","colregs",1,10
oow,"While following a passage plan, repeated fixes show the vessel is being set to starboard by a tidal stream. The best immediate response is to:","Continue as planned until the next waypoint is reached","Alter course and/or speed as required, then monitor the effect with fresh fixes","Ignore the set if the gyro compass is steady","Reduce speed to dead slow ahead and wait for slack water","B","passage-planning",1,20
oow,"Which charted objects are generally most suitable for visual position fixing?","Objects that are conspicuous, accurately charted, and give well-separated position lines","Any objects close to the ship, even if uncharted","Only floating aids to navigation","Only radar conspicuous wrecks","A","chartwork",1,30
oow,"On a chart, the light characteristic 'Fl(3) 10s' means:","Three flashes in total, then the light is extinguished permanently after 10 seconds","A flashing light showing a group of three flashes every 10 seconds","A fixed light visible for 3 seconds every 10 seconds","Three different coloured flashes visible within 10 miles","B","aids-to-navigation",1,40
oow,"A vessel has 240 nautical miles to run and expects to maintain 12 knots. Ignoring time-zone changes, the time required is:","10 hours","12 hours","18 hours","20 hours","D","eta-speed-distance",1,50
oow,"When planning landfall, which factor is MOST critical?","The paint scheme of the lighthouse","The expected set and drift, visibility, and the reliability of the available fixing marks","Whether the vessel can arrive exactly at civil twilight","The number of other vessels anchored offshore","B","landfall",1,60
oow,"To obtain the chart datum depth from an echo sounder reading, the navigator should normally:","Add the height of tide above chart datum to the observed depth","Subtract the height of tide above chart datum from the observed depth corrected to the waterline or keel datum used","Ignore the tide if under-keel clearance is adequate","Multiply the observed depth by the tidal range fraction","B","tides-depth",1,70
oow,"At anchor, the clearest early indication that a vessel may be dragging is:","A steady wind speed","The cable leading consistently in one direction with the vessel maintaining a fixed bearing to shore objects","Changing bearings or GPS position showing movement relative to fixed reference points","A small change in engine-room temperature","C","anchoring",1,80
oow,"TPC is the number of tonnes required to:","Change the trim by 1 centimetre","Change the mean draught by 1 centimetre","Change the freeboard by 1 metre","Flood one compartment by 1 centimetre","B","hydrostatics",1,90
oow,"Fresh Water Allowance (FWA) is the change in draught when a vessel moves:","From fresh water to dock water at the same displacement","From salt water to fresh water at the same displacement","From ballast condition to loaded condition","From summer load line to winter load line","B","hydrostatics",1,100
oow,"A vessel must increase her mean draught by 15 cm. If TPC is 20 tonnes, the weight to load is:","35 tonnes","150 tonnes","300 tonnes","1,333 tonnes","C","hydrostatics",1,110
oow,"Dock Water Allowance (DWA) is used mainly to correct for:","Changes in magnetic variation","The effect of water density different from standard sea water on draught","The effect of free surface on GM","The increase of trim due to hogging","B","hydrostatics",1,120
oow,"The righting moment at a particular angle of heel is found from:","Displacement multiplied by GZ","KM minus KG","TPC multiplied by draught","MCTC multiplied by trim","A","stability",1,130
oow,"A stiff vessel is most likely to have:","A long slow roll and small GM","A quick short roll and relatively large GM","No righting lever at small angles","A permanent angle of loll in calm water","B","stability",1,140
oow,"Which statement correctly distinguishes list from loll?","List is caused by off-centre weights; loll is associated with negative or very small initial GM","List is caused only by wind; loll is caused only by current","List and loll are identical terms","Loll occurs only in dry dock","A","stability",1,150
oow,"Free surface effect in a slack tank will normally:","Increase effective GM","Reduce effective GM","Have no effect unless the ship is aground","Increase displacement without changing stability","B","stability",1,160
oow,"If a weight is shifted transversely to starboard, the vessel will:","List to port","List to starboard","Trim by the stern","Rise bodily in the water","B","stability",1,170
oow,"The angle of vanishing stability is the angle at which:","The deck edge first immerses","The rudder becomes ineffective","The righting lever becomes zero and positive stability is lost beyond that point","The vessel always capsizes immediately","C","stability",1,180
oow,"A trimming moment is calculated as:","Weight multiplied by longitudinal distance moved","Displacement multiplied by GM","TPC multiplied by freeboard","LCB minus LCG","A","trim",1,190
oow,"Loading a weight well forward of the LCF will tend to make the vessel:","Trim by the head","Trim by the stern","List to port","Remain on even keel regardless of weight","A","trim",1,200
oow,"MCTC is the moment required to:","Change trim by 1 centimetre","Change mean draught by 1 centimetre","Heel the vessel by 1 degree","Change the metacentric height by 1 metre","A","trim",1,210
oow,"A vessel has draughts F 8.2 m and A 8.8 m and is assumed to be free from hog or sag. The mean draught is:","8.3 m","8.4 m","8.5 m","8.6 m","C","hydrostatics",1,220
oow,"A vessel on even keel is one that:","Has zero list only","Has equal draught forward and aft","Has maximum GM","Must be in fresh water","B","trim",1,230
oow,"Using cargo gear to raise a heavy load clear of the deck will normally:","Lower KG and improve stability","Raise the effective centre of gravity and reduce GM","Have no stability effect until the load is landed ashore","Increase MCTC only","B","cargo-operations",1,240
oow,"When fixing a ship's position by radar ranges and bearings, the most reliable targets are usually:","Small craft altering course frequently","Prominent charted objects with clear radar definition","Drifting buoys in strong current","Any return near the ship regardless of charted identity","B","radar",1,250
oow,"A compass error determined by azimuth is the angle between:","The ship's head and the wake","Compass north and true north","Magnetic north and grid north only","The vessel's heading and the nearest waypoint","B","compass",1,260
oow,"In restricted visibility, the action that best supports safe navigation is to:","Rely entirely on AIS targets","Maintain a proper lookout, use radar systematically, and proceed at a safe speed","Continue at normal service speed if on schedule","Switch off bridge alarms to reduce distraction","B","watchkeeping",1,270
oow,"Which publication is primarily used to check the current status of lights, buoys, and other navigational warnings for a voyage?","Crew list","Notices to Mariners and relevant navigational warnings","Cargo manifest","Statement of facts","B","publications",1,280
oow,"When calculating tidal height by the rule of twelfths, the method is suitable mainly for:","Any semidiurnal tide curve exactly","A rough estimate where a simple approximation is acceptable","Neap tides only","Currents but not heights","B","tides",1,290
oow,"The chief purpose of parallel indexing on radar is to:","Measure the ship's speed through the water","Monitor the vessel's track relative to a hazard or planned line","Determine magnetic variation","Replace all visual fixing methods at night","B","radar",1,300
oow,"If a vessel is overtaking another vessel, the overtaking vessel must keep clear until:","The vessels are abeam only","The overtaken vessel sounds one short blast","She is finally past and clear","Sunrise the next day","C","colregs",1,310
oow,"Which condition most commonly leads to an error in gyrocompass indication at high latitude?","Low fuel oil temperature","Latitude and speed error effects","Fresh water density changes","Echo sounder lag only","B","compass",1,320
oow,"A valid reason for amending a passage plan during a voyage is:","The bridge team prefers a shorter watch","New navigational information or changing conditions make revision necessary","The cook requests an earlier arrival time","The chart folio is too large to handle easily","B","passage-planning",1,330
oow,"Before entering a coastal pilotage area, the bridge team should place special emphasis on:","Reducing all written records to save time","Master-pilot exchange, expected courses and speeds, and no-go areas","Switching off ECDIS audible alarms","Keeping all engine-room doors open","B","pilotage",1,340
